content,ctime,like,reply_count,user_name,user_level,is_sub_reply,oid,episode,episode_title,anime_title
《鬼灭之刃 柱训练篇》B站开播啦！为保证柱训练顺利开展，番剧君也要做好后勤工作！在柱训练篇第1集任意时间点发送弹幕【恶鬼退散】，即可召唤紫藤花雨~各位小伙伴快来一起互动吧~,2024-06-22 20:00:59,16310,1439,哔哩哔哩番剧,6,0,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
沙发,2024-06-22 20:03:44,14,0,是小宝吖_,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
我来互动了[微笑],2024-06-22 20:03:56,9,0,小当当呀,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[OK],2024-06-22 20:03:58,4,0,月光照丹青,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
火钳留名,2024-06-22 20:04:08,3,0,star芷月,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
辛苦了辛苦了 小破站牛逼！,2024-06-22 20:04:10,7,0,西兰花种植基地,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[脱单doge],2024-06-22 20:04:19,0,0,心素1020,3,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
好诶,2024-06-22 20:04:22,2,0,小只渣渣,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
更新快点吧！！,2024-06-22 20:04:27,1,0,大超皮特,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
能不能全发？,2024-06-22 20:04:29,4,0,松祈jay,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
你这话怎么有种给别人打工的感觉,2024-06-22 20:04:42,22,0,方佥大叔,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
我来了！,2024-06-22 20:04:52,0,0,Crush丶千秋,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[星星眼],2024-06-22 20:04:54,0,0,Comeoi_QwQ,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
火钳刘明[脱单doge],2024-06-22 20:05:11,0,0,Ciaraki殿下,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[香格里拉边境],2024-06-22 20:05:17,1,0,白垩纪纯种恐龙,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
捉捉阿B,2024-06-22 20:05:27,0,0,绫野mio,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
拉快点[生气],2024-06-22 20:05:28,0,0,w全村的希望,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
今晚播不播怪兽8号,2024-06-22 20:05:40,190,0,宇宙之墙,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
来的好快啊！,2024-06-22 20:05:50,4,0,夜羽冰离,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
特效字幕呢，岂可修,2024-06-22 20:06:05,56,0,名字不想买了,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[脱单doge],2024-06-22 20:06:14,4,0,白井Kuro,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
鬼灭之刃从未让人失望，柱训练篇更是带来了全新的热血与感动！主角们努力提升自己，为了成为更大的战士而努力拼搏。那些高强度的训练仿佛让我们也置身其中。 点击阅读漫画，抢先体验鬼灭之刃后续剧情→https://manga.bilibili.com/m/detail/mc25717?showop=Y_3711901696,2024-06-22 20:37:00,6132,64,哔哩哔哩漫画,6,0,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
更强大的战士,2024-06-23 00:04:00,42,0,超级S大魔王,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
哇啊啊啊啊，更新了。呜啊,2024-06-23 00:15:24,0,0,撒哈啦沙漠,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[妙啊]动画版字体的事各位还是好好看番别抱怨了，毕竟这边本来就晚，原因就不说了，再一点点抠细节估计得弄到八月才能上。,2024-06-23 00:43:05,672,0,瀨田,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
爱了爱了，终于等到你,2024-06-23 05:07:18,7,0,技术民工阿达老师,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
怎么感觉每一季都能用这段话当宣传语,2024-06-23 07:57:08,29,0,橙爱丽丝,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
好哦！开播大吉,2024-06-23 09:06:54,3,0,半个椰蓉包,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
恶鬼退散,2024-06-23 09:34:36,2,0,云熙浮梦728,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
为了弹幕再看一遍哈哈(●°u°●) 」,2024-06-23 16:12:50,2,0,溪溪汐,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
还..行,2024-06-23 19:27:10,1,0,酸野耶ye,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
《牙柱VS頭柱》,2024-06-23 21:18:04,3,0,屑元默,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @遍青山红杜鹃 :你更有意思,2024-06-23 22:35:38,3,0,尊从-世界先生,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
@优格VGms,2024-06-24 00:04:31,0,0,MirageY,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @遍青山红杜鹃 :[热词系列_呵呵],2024-06-24 00:35:36,0,0,bili_67975089990,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
V,2024-06-24 00:36:07,0,0,bili_67975089990,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
【鬼舞辻无惨笑得如此开心? 水柱 VS 风柱-哔哩哔哩】 https://b23.tv/hjR4Wqj,2024-06-24 08:25:57,0,0,账号已注销,0,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
更大的战士[doge],2024-06-24 09:29:12,2,0,祝福的火焰,3,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
。。。。。。。。。。。。。。。。。。。,2024-06-24 11:54:19,0,0,达克賽德,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @遍青山红杜鹃 :别跳啊[笑哭],2024-06-25 19:54:07,4,0,Yi次心,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
更大的战士什么玩意[笑哭],2024-06-25 19:54:26,1,0,Yi次心,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @遍青山红杜鹃 :6,2024-06-25 20:06:28,0,0,雾散图-,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
[脱单doge],2024-06-22 20:02:03,4511,6,白馍01,5,0,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
孩子你无敌了,2024-06-22 21:15:33,353,0,高傲小白毛,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @--灵-- :黑发是男孩子也就是小主公，活下来了,2024-07-11 03:20:05,271,0,拉黑司机电话四百多,6,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
回复 @--灵-- :黑发叫产屋敷辉利哉 在无限城篇作为下一任家主及指挥位 为队员在无限城的战斗起到重大作用,2024-07-16 10:58:15,315,0,Escalate_x,5,1,1455924625,1,为了消灭鬼舞辻无惨,鬼灭之刃 柱训练篇
